date, pm25, pm10, o3, so2, co
2019-04-01, 49, , , , 
2019-04-10, 45, , , , 
2019-04-11, 83, , , , 
2019-04-12, 60, , , , 
2019-04-13, 78, , , , 
2019-04-14, 89, , , , 
2019-04-15, 57, , , , 
2019-04-16, 44, , , , 
2019-04-17, 60, , , , 
2019-04-18, 57, , , , 
2019-04-19, 7, , , , 
2019-04-02, 79, , , , 
2019-04-03, 54, , , , 
2019-04-04, 74, , , , 
2019-04-05, 67, , , , 
2019-04-06, 38, , , , 
2019-04-07, 67, , , , 
2019-04-08, 85, , , , 
2019-04-09, 69, , , , 
2019-06-10, 71, , , , 
2019-06-11, 83, , , , 
2019-06-12, 96, , , , 
2019-06-13, 99, , , , 
2019-06-14, 106, , , , 
2019-06-15, 91, , , , 
2019-06-16, 144, , , , 
2019-06-17, 92, , , , 
2019-06-18, 67, , , , 
2019-06-19, 84, , , , 
2019-06-20, 102, , , , 
2019-06-21, 113, , , , 
2019-06-22, 106, , , , 
2019-06-23, 86, , , , 
2019-06-24, 97, , , , 
2019-06-25, 117, , , , 
2019-06-26, 131, , , , 
2019-06-27, 121, , , , 
2019-06-28, 98, , , , 
2019-06-29, 106, , , , 
2019-06-03, 67, , , , 
2019-06-30, 104, , , , 
2019-06-04, 73, , , , 
2019-06-05, 84, , , , 
2019-06-06, 75, , , , 
2019-06-07, 93, , , , 
2019-06-08, 80, , , , 
2019-06-09, 99, , , , 
2019-07-01, 107, , , , 
2019-07-10, 117, , , , 
2019-07-11, 124, , , , 
2019-07-12, 114, , , , 
2019-07-13, 126, , , , 
2019-07-14, 85, , , , 
2019-07-15, 94, , , , 
2019-07-16, 133, , , , 
2019-07-17, 139, , , , 
2019-07-18, 117, , , , 
2019-07-19, 147, , , , 
2019-07-02, 116, , , , 
2019-07-20, 139, , , , 
2019-07-21, 130, , , , 
2019-07-22, 122, , , , 
2019-07-23, 126, , , , 
2019-07-24, 107, , , , 
2019-07-25, 118, , , , 
2019-07-26, 127, , , , 
2019-07-27, 129, , , , 
2019-07-28, 132, , , , 
2019-07-29, 138, , , , 
2019-07-03, 81, , , , 
2019-07-30, 143, , , , 
2019-07-31, 148, , , , 
2019-07-04, 88, , , , 
2019-07-05, 132, , , , 
2019-07-06, 143, , , , 
2019-07-07, 100, , , , 
2019-07-08, 138, , , , 
2019-07-09, 95, , , , 
2019-08-01, 128, , , , 
2019-08-10, 102, , , , 
2019-08-11, 134, , , , 
2019-08-12, 154, , , , 
2019-08-13, 90, , , , 
2019-08-14, 96, , , , 
2019-08-15, 94, , , , 
2019-08-16, 86, , , , 
2019-08-17, 79, , , , 
2019-08-18, 96, , , , 
2019-08-02, 132, , , , 
2019-08-21, 131, , , , 
2019-08-22, 118, , , , 
2019-08-23, 115, , , , 
2019-08-24, 131, , , , 
2019-08-25, 124, , , , 
2019-08-26, 104, , , , 
2019-08-27, 101, , , , 
2019-08-28, 112, , , , 
2019-08-03, 105, , , , 
2019-08-04, 106, , , , 
2019-08-05, 122, , , , 
2019-08-06, 162, , , , 
2019-08-07, 162, , , , 
2019-08-08, 150, , , , 
2019-08-09, 125, , , , 
2019-09-10, 70, , , , 
2019-09-11, 76, , , , 
2019-09-12, 106, , , , 
2019-09-13, 126, , , , 
2019-09-14, 99, , , , 
2019-09-15, 91, , , , 
2019-09-16, 99, , , , 
2019-09-17, 109, , , , 
2019-09-18, 98, , , , 
2019-09-19, 120, , , , 
2019-09-20, 122, , , , 
2019-09-21, 140, , , , 
2019-09-22, 120, , , , 
2019-09-23, 112, , , , 
2019-09-24, 138, , , , 
2019-09-25, 145, , , , 
2019-09-26, 160, , , , 
2019-09-27, 164, , , , 
2019-09-28, 141, , , , 
2019-09-29, 119, , , , 
2019-09-30, 77, , , , 
2019-09-09, 85, , , , 
2020-01-01, 131, , , , 
2020-01-10, 113, , , , 
2020-01-11, 113, , , , 
2020-01-12, 120, , , , 
2020-01-13, 73, , , , 
2020-01-14, 109, , , , 
2020-01-15, 149, , , , 
2020-01-16, 142, , , , 
2020-01-17, 137, , , , 
2020-01-18, 186, , , , 
2020-01-19, 179, , , , 
2020-01-02, 130, , , , 
2020-01-20, 143, , , , 
2020-01-21, 144, , , , 
2020-01-22, 139, , , , 
2020-01-23, 112, , , , 
2020-01-24, 110, , , , 
2020-01-25, 135, , , , 
2020-01-26, 106, , , , 
2020-01-27, 140, , , , 
2020-01-28, 152, , , , 
2020-01-29, 124, , , , 
2020-01-03, 135, , , , 
2020-01-30, 108, , , , 
2020-01-31, 103, , , , 
2020-01-04, 80, , , , 
2020-01-05, 82, , , , 
2020-01-06, 90, , , , 
2020-01-07, 69, , , , 
2020-01-08, 87, , , , 
2020-01-09, 68, , , , 
2020-10-01, 79, , , , 
2020-10-10, 132, , , , 
2020-10-14, 122, , , , 
2020-10-15, 152, , , , 
2020-10-16, 151, , , , 
2020-10-17, 154, , , , 
2020-10-18, 143, , , , 
2020-10-19, 159, , , , 
2020-10-02, 93, , , , 
2020-10-20, 165, , , , 
2020-10-21, 155, , , , 
2020-10-22, 116, , , , 
2020-10-23, 94, , , , 
2020-10-24, 110, , , , 
2020-10-25, 147, , , , 
2020-10-26, 140, , , , 
2020-10-27, 123, , , , 
2020-10-28, 76, , , , 
2020-10-29, 137, , , , 
2020-10-03, 93, , , , 
2020-10-30, 163, , , , 
2020-10-31, 159, , , , 
2020-10-04, 92, , , , 
2020-10-05, 87, , , , 
2020-10-06, 99, , , , 
2020-10-07, 107, , , , 
2020-10-08, 118, , , , 
2020-10-09, 115, , , , 
2020-11-01, 149, , , , 
2020-11-10, 120, , , , 
2020-11-11, 163, , , , 
2020-11-12, 85, , , , 
2020-11-13, 64, , , , 
2020-11-14, 80, , , , 
2020-11-15, 125, , , , 
2020-11-16, 122, , , , 
2020-11-17, 79, , , , 
2020-11-18, 84, , , , 
2020-11-19, 102, , , , 
2020-11-02, 137, , , , 
2020-11-20, 143, , , , 
2020-11-21, 157, , , , 
2020-11-22, 123, , , , 
2020-11-23, 137, , , , 
2020-11-24, 163, , , , 
2020-11-25, 169, , , , 
2020-11-26, 152, , , , 
2020-11-27, 102, , , , 
2020-11-28, 115, , , , 
2020-11-29, 110, , , , 
2020-11-03, 155, , , , 
2020-11-30, 143, , , , 
2020-11-04, 178, , , , 
2020-11-05, 171, , , , 
2020-11-06, 156, , , , 
2020-11-07, 104, , , , 
2020-11-08, 137, , , , 
2020-11-09, 77, , , , 
2020-12-01, 161, , , , 
2020-12-10, 159, , , , 
2020-12-11, 174, , , , 
2020-12-12, 159, , , , 
2020-12-13, 147, , , , 
2020-12-14, 138, , , , 
2020-12-15, 136, , , , 
2020-12-16, 135, , , , 
2020-12-17, 145, , , , 
2020-12-18, 120, , , , 
2020-12-19, 129, , , , 
2020-12-02, 150, , , , 
2020-12-20, 93, , , , 
2020-12-21, 106, , , , 
2020-12-22, 140, , , , 
2020-12-23, 130, , , , 
2020-12-24, 148, , , , 
2020-12-25, 118, , , , 
2020-12-26, 82, , , , 
2020-12-27, 101, , , , 
2020-12-28, 149, , , , 
2020-12-29, 145, , , , 
2020-12-03, 163, , , , 
2020-12-30, 171, , , , 
2020-12-31, 170, , , , 
2020-12-04, 129, , , , 
2020-12-05, 140, , , , 
2020-12-06, 146, , , , 
2020-12-07, 143, , , , 
2020-12-08, 156, , , , 
2020-12-09, 155, , , , 
2020-02-01, 56, , , , 
2020-02-10, 92, , , , 
2020-02-11, 100, , , , 
2020-02-12, 125, , , , 
2020-02-13, 101, , , , 
2020-02-14, 87, , , , 
2020-02-15, 96, , , , 
2020-02-16, 65, , , , 
2020-02-17, 106, , , , 
2020-02-18, 75, , , , 
2020-02-19, 117, , , , 
2020-02-02, 68, , , , 
2020-02-20, 147, , , , 
2020-02-21, 138, , , , 
2020-02-22, 92, , , , 
2020-02-23, 115, , , , 
2020-02-24, 107, , , , 
2020-02-25, 88, , , , 
2020-02-26, 79, , , , 
2020-02-27, 66, , , , 
2020-02-28, 131, , , , 
2020-02-29, 126, , , , 
2020-02-03, 127, , , , 
2020-02-04, 101, , , , 
2020-02-05, 93, , , , 
2020-02-06, 121, , , , 
2020-02-07, 99, , , , 
2020-02-08, 68, , , , 
2020-02-09, 103, , , , 
2020-03-01, 123, , , , 
2020-03-10, 131, , , , 
2020-03-11, 132, , , , 
2020-03-12, 163, , , , 
2020-03-13, 138, , , , 
2020-03-14, 129, , , , 
2020-03-15, 91, , , , 
2020-03-16, 76, , , , 
2020-03-17, 102, , , , 
2020-03-18, 132, , , , 
2020-03-19, 98, , , , 
2020-03-02, 113, , , , 
2020-03-20, 110, , , , 
2020-03-21, 87, , , , 
2020-03-22, 91, , , , 
2020-03-23, 147, , , , 
2020-03-24, 119, , , , 
2020-03-25, 110, , , , 
2020-03-26, 112, , , , 
2020-03-27, 125, , , , 
2020-03-28, 100, , , , 
2020-03-29, 95, , , , 
2020-03-03, 96, , , , 
2020-03-30, 86, , , , 
2020-03-31, 90, , , , 
2020-03-04, 113, , , , 
2020-03-05, 84, , , , 
2020-03-06, 81, , , , 
2020-03-07, 96, , , , 
2020-03-08, 124, , , , 
2020-03-09, 131, , , , 
2020-04-01, 60, , , , 
2020-04-10, 119, , , , 
2020-04-11, 66, , , , 
2020-04-12, 53, , , , 
2020-04-13, 53, , , , 
2020-04-14, 57, , , , 
2020-04-15, 63, , , , 
2020-04-16, 60, , , , 
2020-04-17, 80, , , , 
2020-04-18, 63, , , , 
2020-04-19, 67, , , , 
2020-04-02, 60, , , , 
2020-04-20, 77, , , , 
2020-04-21, 77, , , , 
2020-04-22, 72, , , , 
2020-04-23, 70, , , , 
2020-04-24, 73, , , , 
2020-04-25, 73, , , , 
2020-04-26, 77, , , , 
2020-04-27, 82, , , , 
2020-04-28, 118, , , , 
2020-04-29, 76, , , , 
2020-04-03, 73, , , , 
2020-04-30, 53, , , , 
2020-04-04, 68, , , , 
2020-04-05, 73, , , , 
2020-04-06, 88, , , , 
2020-04-07, 80, , , , 
2020-04-08, 60, , , , 
2020-04-09, 63, , , , 
2020-05-01, 67, , , , 
2020-05-10, 69, , , , 
2020-05-11, 67, , , , 
2020-05-12, 73, , , , 
2020-05-13, 64, , , , 
2020-05-14, 51, , , , 
2020-05-15, 57, , , , 
2020-05-16, 68, , , , 
2020-05-17, 67, , , , 
2020-05-18, 75, , , , 
2020-05-19, 73, , , , 
2020-05-02, 71, , , , 
2020-05-20, 68, , , , 
2020-05-21, 61, , , , 
2020-05-22, 65, , , , 
2020-05-23, 73, , , , 
2020-05-24, 82, , , , 
2020-05-25, 98, , , , 
2020-05-26, 104, , , , 
2020-05-27, 95, , , , 
2020-05-28, 89, , , , 
2020-05-29, 86, , , , 
2020-05-03, 72, , , , 
2020-05-30, 74, , , , 
2020-05-31, 77, , , , 
2020-05-04, 58, , , , 
2020-05-05, 61, , , , 
2020-05-06, 60, , , , 
2020-05-07, 70, , , , 
2020-05-08, 62, , , , 
2020-05-09, 59, , , , 
2020-06-01, 70, , , , 
2020-06-10, 55, , , , 
2020-06-11, 67, , , , 
2020-06-12, 68, , , , 
2020-06-13, 69, , , , 
2020-06-14, 76, , , , 
2020-06-15, 75, , , , 
2020-06-16, 69, , , , 
2020-06-17, 63, , , , 
2020-06-18, 73, , , , 
2020-06-19, 77, , , , 
2020-06-02, 59, , , , 
2020-06-20, 69, , , , 
2020-06-21, 83, , , , 
2020-06-22, 84, , , , 
2020-06-23, 71, , , , 
2020-06-24, 66, , , , 
2020-06-25, 69, , , , 
2020-06-26, 99, , , , 
2020-06-27, 79, , , , 
2020-06-28, 67, , , , 
2020-06-29, 66, , , , 
2020-06-03, 71, , , , 
2020-06-30, 93, , , , 
2020-06-04, 84, , , , 
2020-06-05, 75, , , , 
2020-06-06, 70, , , , 
2020-06-07, 74, , , , 
2020-06-08, 74, , , , 
2020-06-09, 60, , , , 
2020-07-01, 85, , , , 
2020-07-10, 66, , , , 
2020-07-11, 78, , , , 
2020-07-12, 87, , , , 
2020-07-13, 86, , , , 
2020-07-14, 72, , , , 
2020-07-15, 76, , , , 
2020-07-16, 79, , , , 
2020-07-17, 71, , , , 
2020-07-18, 70, , , , 
2020-07-02, 93, , , , 
2020-07-23, 85, , , , 
2020-07-24, 80, , , , 
2020-07-25, 71, , , , 
2020-07-26, 76, , , , 
2020-07-27, 70, , , , 
2020-07-28, 86, , , , 
2020-07-29, 69, , , , 
2020-07-03, 55, , , , 
2020-07-30, 72, , , , 
2020-07-31, 81, , , , 
2020-07-04, 68, , , , 
2020-07-05, 80, , , , 
2020-07-06, 61, , , , 
2020-07-07, 83, , , , 
2020-07-08, 107, , , , 
2020-07-09, 98, , , , 
2020-08-01, 82, , , , 
2020-08-10, 81, , , , 
2020-08-11, 92, , , , 
2020-08-12, 87, , , , 
2020-08-13, 91, , , , 
2020-08-14, 78, , , , 
2020-08-15, 78, , , , 
2020-08-16, 94, , , , 
2020-08-17, 93, , , , 
2020-08-18, 69, , , , 
2020-08-19, 80, , , , 
2020-08-02, 69, , , , 
2020-08-20, 76, , , , 
2020-08-21, 76, , , , 
2020-08-22, 79, , , , 
2020-08-23, 88, , , , 
2020-08-24, 126, , , , 
2020-08-25, 186, , , , 
2020-08-26, 101, , , , 
2020-08-27, 100, , , , 
2020-08-28, 92, , , , 
2020-08-29, 101, , , , 
2020-08-03, 81, , , , 
2020-08-30, 101, , , , 
2020-08-31, 93, , , , 
2020-08-04, 82, , , , 
2020-08-05, 77, , , , 
2020-08-06, 86, , , , 
2020-08-07, 92, , , , 
2020-08-08, 83, , , , 
2020-08-09, 80, , , , 
2020-09-01, 79, , , , 
2020-09-10, 118, , , , 
2020-09-11, 108, , , , 
2020-09-12, 93, , , , 
2020-09-13, 92, , , , 
2020-09-14, 105, , , , 
2020-09-15, 86, , , , 
2020-09-16, 91, , , , 
2020-09-17, 93, , , , 
2020-09-18, 72, , , , 
2020-09-02, 78, , , , 
2020-09-20, 93, , , , 
2020-09-21, 91, , , , 
2020-09-22, 87, , , , 
2020-09-23, 92, , , , 
2020-09-24, 85, , , , 
2020-09-25, 103, , , , 
2020-09-26, 129, , , , 
2020-09-27, 131, , , , 
2020-09-28, 134, , , , 
2020-09-29, 130, , , , 
2020-09-03, 76, , , , 
2020-09-30, 89, , , , 
2020-09-04, 81, , , , 
2020-09-05, 86, , , , 
2020-09-06, 66, , , , 
2020-09-07, 84, , , , 
2020-09-08, 102, , , , 
2020-09-09, 116, , , , 
2021-01-01, 176, , , , 
2021-01-10, 154, , , , 
2021-01-11, 160, , , , 
2021-01-12, 151, , , , 
2021-01-13, 167, , , , 
2021-01-14, 159, , , , 
2021-01-15, 188, , , , 
2021-01-18, 144, , , , 
2021-01-19, 109, , , , 
2021-01-02, 176, , , , 
2021-01-20, 82, , , , 
2021-01-21, 85, , , , 
2021-01-22, 73, , , , 
2021-01-23, 89, , , , 
2021-01-24, 88, , , , 
2021-01-25, 149, , , , 
2021-01-26, 142, , , , 
2021-01-27, 166, , , , 
2021-01-28, 131, , , , 
2021-01-29, 139, , , , 
2021-01-03, 180, , , , 
2021-01-30, 128, , , , 
2021-01-31, 101, , , , 
2021-01-04, 162, , , , 
2021-01-05, 141, , , , 
2021-01-06, 114, , , , 
2021-01-07, 110, , , , 
2021-01-08, 122, , , , 
2021-01-09, 174, , , , 
2021-10-01, 66, , , , 
2021-10-10, 99, , , , 
2021-10-11, 112, , , , 
2021-10-12, 109, , , , 
2021-10-13, 139, , , , 
2021-10-14, 140, , , , 
2021-10-15, 138, , , , 
2021-10-16, 141, , , , 
2021-10-17, 141, , , , 
2021-10-18, 144, , , , 
2021-10-19, 159, , , , 
2021-10-02, 79, , , , 
2021-10-20, 162, , , , 
2021-10-21, 91, , , , 
2021-10-22, 78, , , , 
2021-10-23, 111, , , , 
2021-10-24, 140, , , , 
2021-10-25, 150, , , , 
2021-10-26, 150, , , , 
2021-10-27, 143, , , , 
2021-10-28, 98, , , , 
2021-10-29, 80, , , , 
2021-10-03, 104, , , , 
2021-10-30, 119, , , , 
2021-10-31, 130, , , , 
2021-10-04, 126, , , , 
2021-10-05, 133, , , , 
2021-10-06, 132, , , , 
2021-10-07, 148, , , , 
2021-10-08, 149, , , , 
2021-10-09, 95, , , , 
2021-11-01, 138, , , , 
2021-11-10, 172, , , , 
2021-11-12, 163, , , , 
2021-11-13, 170, , , , 
2021-11-16, 91, , , , 
2021-11-17, 208, , , , 
2021-11-18, 125, , , , 
2021-11-19, 145, , , , 
2021-11-02, 120, , , , 
2021-11-20, 159, , , , 
2021-11-21, 125, , , , 
2021-11-22, 134, , , , 
2021-11-23, 132, , , , 
2021-11-24, 155, , , , 
2021-11-25, 140, , , , 
2021-11-26, 74, , , , 
2021-11-27, 96, , , , 
2021-11-28, 133, , , , 
2021-11-29, 128, , , , 
2021-11-03, 141, , , , 
2021-11-30, 124, , , , 
2021-11-04, 131, , , , 
2021-11-05, 629, , , , 
2021-11-06, 412, , , , 
2021-11-07, 265, , , , 
2021-11-08, 182, , , , 
2021-11-09, 179, , , , 
2021-12-01, 76, , , , 
2021-12-10, 154, , , , 
2021-12-11, 156, , , , 
2021-12-12, 169, , , , 
2021-12-13, 138, , , , 
2021-12-14, 62, , , , 
2021-12-15, 79, , , , 
2021-12-16, 120, , , , 
2021-12-17, 163, , , , 
2021-12-18, 128, , , , 
2021-12-19, 113, , , , 
2021-12-02, 75, , , , 
2021-12-20, 89, , , , 
2021-12-21, 60, , , , 
2021-12-22, 120, , , , 
2021-12-23, 105, , , , 
2021-12-24, 125, , , , 
2021-12-25, 121, , , , 
2021-12-26, 84, , , , 
2021-12-27, 130, , , , 
2021-12-28, 136, , , , 
2021-12-29, 135, , , , 
2021-12-03, 142, , , , 
2021-12-30, 151, , , , 
2021-12-31, 95, , , , 
2021-12-04, 180, , , , 
2021-12-05, 155, , , , 
2021-12-06, 170, , , , 
2021-12-07, 163, , , , 
2021-12-08, 186, , , , 
2021-12-09, 180, , , , 
2021-02-01, 124, , , , 
2021-02-10, 123, , , , 
2021-02-11, 122, , , , 
2021-02-12, 98, , , , 
2021-02-13, 90, , , , 
2021-02-14, 81, , , , 
2021-02-15, 67, , , , 
2021-02-16, 77, , , , 
2021-02-17, 82, , , , 
2021-02-18, 76, , , , 
2021-02-19, 112, , , , 
2021-02-02, 138, , , , 
2021-02-20, 65, , , , 
2021-02-21, 86, , , , 
2021-02-22, 99, , , , 
2021-02-23, 100, , , , 
2021-02-24, 72, , , , 
2021-02-25, 82, , , , 
2021-02-26, 126, , , , 
2021-02-27, 125, , , , 
2021-02-28, 81, , , , 
2021-02-03, 146, , , , 
2021-02-04, 122, , , , 
2021-02-05, 124, , , , 
2021-02-06, 150, , , , 
2021-02-07, 115, , , , 
2021-02-08, 97, , , , 
2021-02-09, 113, , , , 
2021-03-01, 106, , , , 
2021-03-10, 89, , , , 
2021-03-11, 93, , , , 
2021-03-12, 101, , , , 
2021-03-13, 84, , , , 
2021-03-14, 94, , , , 
2021-03-15, 114, , , , 
2021-03-16, 139, , , , 
2021-03-17, 152, , , , 
2021-03-18, 129, , , , 
2021-03-19, 87, , , , 
2021-03-02, 133, , , , 
2021-03-20, 81, , , , 
2021-03-21, 87, , , , 
2021-03-22, 113, , , , 
2021-03-23, 85, , , , 
2021-03-24, 117, , , , 
2021-03-25, 97, , , , 
2021-03-26, 110, , , , 
2021-03-27, 114, , , , 
2021-03-28, 83, , , , 
2021-03-29, 69, , , , 
2021-03-03, 116, , , , 
2021-03-30, 81, , , , 
2021-03-31, 80, , , , 
2021-03-04, 108, , , , 
2021-03-05, 76, , , , 
2021-03-06, 88, , , , 
2021-03-07, 72, , , , 
2021-03-08, 110, , , , 
2021-03-09, 78, , , , 
2021-04-01, 62, , , , 
2021-04-10, 86, , , , 
2021-04-11, 100, , , , 
2021-04-12, 89, , , , 
2021-04-13, 139, , , , 
2021-04-14, 83, , , , 
2021-04-15, 95, , , , 
2021-04-16, 103, , , , 
2021-04-17, 84, , , , 
2021-04-18, 107, , , , 
2021-04-19, 82, , , , 
2021-04-02, 102, , , , 
2021-04-20, 108, , , , 
2021-04-21, 61, , , , 
2021-04-22, 87, , , , 
2021-04-23, 93, , , , 
2021-04-24, 96, , , , 
2021-04-25, 76, , , , 
2021-04-26, 85, , , , 
2021-04-27, 78, , , , 
2021-04-28, 72, , , , 
2021-04-29, 94, , , , 
2021-04-03, 91, , , , 
2021-04-30, 89, , , , 
2021-04-04, 101, , , , 
2021-04-05, 115, , , , 
2021-04-06, 106, , , , 
2021-04-07, 108, , , , 
2021-04-08, 82, , , , 
2021-04-09, 81, , , , 
2021-05-01, 81, , , , 
2021-05-10, 76, , , , 
2021-05-11, 92, , , , 
2021-05-12, 74, , , , 
2021-05-13, 73, , , , 
2021-05-14, 77, , , , 
2021-05-15, 85, , , , 
2021-05-16, 94, , , , 
2021-05-17, 85, , , , 
2021-05-18, 79, , , , 
2021-05-19, 85, , , , 
2021-05-02, 92, , , , 
2021-05-20, 69, , , , 
2021-05-21, 63, , , , 
2021-05-22, 75, , , , 
2021-05-23, 84, , , , 
2021-05-24, 93, , , , 
2021-05-25, 95, , , , 
2021-05-26, 82, , , , 
2021-05-27, 76, , , , 
2021-05-28, 73, , , , 
2021-05-29, 76, , , , 
2021-05-03, 73, , , , 
2021-05-30, 71, , , , 
2021-05-31, 69, , , , 
2021-05-04, 97, , , , 
2021-05-05, 113, , , , 
